area_name,latitude,longitude
Abiramapuram,13.0311142,80.2579194
Adambakkam,12.9874863,80.2045919
Adyar,13.0011774,80.2564957
Agaram,13.1116221,80.2294222
Alandur,12.9974873,80.2006371
Alwar Tirunagar,13.0425511,80.1840192
Ambattur ,13.1143167,80.1480551
Aminijikarai,13.0705601,80.2279488
Anakaputhur,12.9821793,80.1295073
Angappanaicken Street,13.0961362,80.2906828
Anna H O,13.0676136,80.2700266
Annamalaipuram,13.0216671,80.2679118
Annanagar,13.0891361,80.2095622
Arcot,13.0467494,80.1940863
Arumbakkam,13.0710195,80.211238
Ashok Nagar,13.0297072,80.2077902
Ashtabujam,13.0934968,80.2609793
Avadi,13.1067448,80.0969511
Ayanavaram,13.0985669,80.2336659
Besant Nagar ,13.0002421,80.2668372
Bharathipuram,12.9476739,80.1478065
Broadway,13.0874727,80.2838621
